uuid,site_code,DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt,AtlasSci_DO,AtlasSci_FloatCond
00e9d459-fc66-4591-9663-14b7ef952f14,SCNF010,2025-05-12 11:48:00,426.8,467.8,20.0,4.109,,
014dfb07-80f2-4160-9cf6-0cd82448fc1c,SCNF010,2025-05-12 13:34:00,408.2,695.7,16.3,4.109,,
02786cf3-3f7c-4b61-a13b-6641a9b1bbca,SCNF010,2025-05-12 13:36:00,439.8,683.3,15.9,4.109,,
02ce1184-ae5f-4c8f-862d-39eb1a275611,SCNF010,2025-05-12 15:03:00,302.3,538.5,16.5,4.23,,
03670736-5d70-43c5-b655-0bdf0c030dec,SCNF010,2025-05-12 16:55:00,273.0,514.2,18.8,4.275,,
0408878c-d0e7-4247-b1f6-edde8e3acb53,SCNF010,2025-05-12 11:45:00,425.0,465.0,20.0,4.109,,
043c3ff7-9942-43c8-a2ed-deff0db7d5ac,SCNF010,2025-05-12 11:46:00,425.3,469.3,20.0,4.109,,
04b6c326-b1a9-45c8-a2a3-6d8c4c90c8d6,SCNF010,2025-05-12 12:29:00,400.3,469.7,19.9,4.109,,
05691e44-7928-48a6-9479-3688ab550db3,SCNF010,2025-05-12 15:07:00,307.5,524.2,17.3,4.275,,
05c5ed76-3841-48f8-92ea-ed546ff15be9,SCNF010,2025-05-12 13:49:00,334.3,698.7,16.0,4.109,,
06127ddc-d3f7-4d60-b2c6-85e925a29fac,SCNF010,2025-05-12 14:35:00,331.5,569.5,16.3,4.124,,
066cf4e4-51a3-4902-aefa-02a55c186ed2,SCNF010,2025-05-12 12:00:00,411.8,472.2,20.0,4.109,,
074c7eae-b244-434b-b7cb-29e1b30e896c,SCNF010,2025-05-12 12:48:00,389.8,458.8,19.9,4.109,,
075e289f-128c-4b35-bd1e-072da725cd3f,SCNF010,2025-05-12 13:01:00,384.7,459.3,19.9,4.109,,
088628ab-b458-4434-9e03-c3e1e51b3a32,SCNF010,2025-05-12 15:53:00,278.3,494.0,18.2,4.275,,
0939deae-feb5-48c6-8515-fb1c5be6ac4a,SCNF010,2025-05-12 15:43:00,304.5,494.0,17.3,4.169,,
