uuid,site_code,DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt,rain_mm
32e7b0f5-c101-49be-88cb-e78994a95f84,south_fork_1,2025-09-10 05:00:00,575.7,64.8,18.4,4.124,0.025
136ac4d3-ae10-484d-b56a-0272d42ba29f,south_fork_1,2025-09-10 05:15:00,576.7,62.0,18.4,4.124,0.025
30d9e818-5a64-4a94-a636-9d0c322efdd3,south_fork_1,2025-09-10 05:30:00,577.2,62.8,18.5,4.124,0.025
1b0fdbc2-9a8e-45f8-b014-fd107d408b8a,south_fork_1,2025-09-10 05:45:00,576.3,63.3,18.5,4.124,0.025
df9599d9-da32-4301-95b4-cd21ed68d387,south_fork_1,2025-09-10 06:00:00,576.5,62.8,18.5,4.124,0.025
633181a8-5cc0-4172-91bc-b2c3d3bb3d48,south_fork_1,2025-09-10 06:15:00,576.8,62.5,18.4,4.124,0.025
07ae31da-0757-40b5-bf90-8010e27a19d3,south_fork_1,2025-09-10 06:30:00,577.0,63.0,18.4,4.124,0.025
781c550d-3562-4282-aa3d-3159aea97e6b,south_fork_1,2025-09-10 06:45:00,574.8,62.8,18.4,4.124,0.025
b0ae274d-4ac3-446d-908a-2b6e2f98ec09,south_fork_1,2025-09-10 07:00:00,576.2,64.2,18.4,4.124,0.0
0a96fffd-2d29-4591-87bf-9ef9f7bd1de3,south_fork_1,2025-09-10 07:15:00,576.5,63.8,18.4,4.109,0.0
dceb6ac6-0307-436c-af2b-43459625c7a1,south_fork_1,2025-09-10 07:30:00,430.7,77.8,18.92,4.109,0.0
2a04058b-a62f-449b-a3db-5f4a5e3dc643,south_fork_1,2025-09-10 07:45:00,408.7,75.3,19.0,4.124,0.0
08ab7c3a-ebe7-400e-8ec4-ad681bc2a2b4,south_fork_1,2025-09-10 08:00:00,489.3,131.8,18.5,4.109,0.0
382adc1b-d170-40b6-b9f0-2237b3383539,south_fork_1,2025-09-10 08:15:00,382.5,107.2,18.4,4.109,0.0
85ac31ad-9204-4d2a-b966-ed0d24059be1,south_fork_1,2025-09-10 08:30:00,317.3,126.5,18.5,4.109,0.0
3bd10844-06a9-43df-a5ea-e9c56cbb91af,south_fork_1,2025-09-10 08:45:00,545.3,111.5,18.2,4.109,0.0
9593024e-b1d9-4101-b923-23fb3bae4f47,south_fork_1,2025-09-10 09:00:00,563.5,99.2,18.0,4.109,0.0
1d0ad793-b231-42cd-8571-94a67d2f9b6b,south_fork_1,2025-09-10 09:15:00,543.5,91.0,17.9,4.124,0.0
f523c459-0361-4fdf-9ddd-99a7c24c22c4,south_fork_1,2025-09-10 09:30:00,520.7,86.3,17.9,4.109,0.0
6327d552-21c6-42e4-9eba-84c14c2a2f72,south_fork_1,2025-09-10 09:45:00,505.5,82.8,17.85,4.109,0.0
0dad459f-dd8b-428c-8861-dd34b59c6aff,south_fork_1,2025-09-10 10:00:00,497.5,79.8,17.87,4.109,0.0
d41099c6-9d8c-46c5-b326-d32ce106bdd1,south_fork_1,2025-09-10 10:15:00,489.7,76.8,17.9,4.109,0.0
b03d72f2-23ea-43c1-ad72-c5265cc90217,south_fork_1,2025-09-10 10:30:00,482.2,77.5,17.9,4.109,0.0
60feec41-333b-455c-80c1-1d5e8f35e3df,south_fork_1,2025-09-10 10:45:00,478.3,71.8,17.9,4.109,0.0
06af1f52-fc94-4555-87a3-ddd621acf3a0,south_fork_1,2025-09-10 11:00:00,476.7,70.2,18.0,4.109,0.0
6dd8d345-7fad-4c99-99de-7a91e5b51be6,south_fork_1,2025-09-10 11:15:00,474.0,69.8,18.0,4.109,0.0
c2af2708-b3c3-400a-8130-f992391025e5,south_fork_1,2025-09-10 11:30:00,472.5,69.2,17.9,4.109,0.0
7c4e1cae-1cb4-4a8e-8c1b-e589549203a2,south_fork_1,2025-09-10 11:45:00,471.2,69.0,17.9,4.109,0.0
ff5f5e80-19e2-4d9b-a570-c7409fdb9229,south_fork_1,2025-09-10 12:00:00,471.0,70.0,17.9,4.109,0.025
