uuid,site_code,DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt
d6dd6187-fceb-480e-9d16-9d2ba65fc323,south_fork_2,2025-09-10 05:00:00,562.2,505.2,18.9,4.139
9f36e123-d203-4285-9aa2-021ac450c710,south_fork_2,2025-09-10 05:15:00,561.8,504.8,18.9,4.139
5f34e0f6-0d4d-4755-bb16-91e9e67781fa,south_fork_2,2025-09-10 05:30:00,561.8,503.0,18.9,4.154
89f7fd8c-e406-49dd-aa8f-405054f47461,south_fork_2,2025-09-10 05:45:00,562.2,503.3,18.9,4.139
8a9703b9-44e1-46ee-ac22-843dc9db6a37,south_fork_2,2025-09-10 06:00:00,562.7,504.8,18.87,4.139
9c0a9ea5-55e1-4bb9-8106-31932e76bc54,south_fork_2,2025-09-10 06:15:00,563.2,504.3,18.8,4.139
d917550d-70fb-4184-a1a6-45b4fb269273,south_fork_2,2025-09-10 06:30:00,563.8,504.7,18.8,4.139
15ae19bd-212f-40b3-9436-6a1b45b6aa84,south_fork_2,2025-09-10 06:45:00,564.7,503.8,18.8,4.139
d7487103-73a5-4267-ade6-3c581632db9b,south_fork_2,2025-09-10 07:00:00,565.7,504.0,18.8,4.139
c88e0fbb-a999-4e60-8881-33793e5d6638,south_fork_2,2025-09-10 07:15:00,566.2,504.7,18.8,4.139
c375705a-ed0e-4480-aeb2-9967c1fc4519,south_fork_2,2025-09-10 07:30:00,566.7,504.8,18.8,4.139
7999a8ec-d3e5-490c-874b-ec0ca76c9f7b,south_fork_2,2025-09-10 07:45:00,567.7,519.8,18.72,4.139
85b1dcf3-3537-4cfc-bf62-0e1d7e2d710b,south_fork_2,2025-09-10 08:00:00,561.8,523.2,18.8,4.139
40bc9625-6143-4ca4-a04c-953913c980f5,south_fork_2,2025-09-10 08:15:00,527.0,583.2,18.9,4.139
1a370826-129e-45c5-aba9-7694f9a667f8,south_fork_2,2025-09-10 08:30:00,540.7,567.2,19.1,4.139
2a5679a5-ada9-4c87-a9c7-fcc4d3de33c5,south_fork_2,2025-09-10 08:45:00,528.8,580.0,19.0,4.139
0d6dc662-3bad-49a1-8e9b-300307dec786,south_fork_2,2025-09-10 09:00:00,495.5,566.5,18.9,4.139
b351a216-ddbb-434d-89d8-8805b13b4a06,south_fork_2,2025-09-10 09:15:00,437.0,556.3,18.8,4.139
b5db715f-975e-43d7-a592-cf4645ab5d0c,south_fork_2,2025-09-10 09:30:00,405.8,545.7,18.8,4.139
53e7755b-97b2-44ba-9870-8b51004eda84,south_fork_2,2025-09-10 09:45:00,404.7,538.2,18.78,4.139
cadac5fd-c931-4bb4-9a7d-9ccd70275147,south_fork_2,2025-09-10 10:00:00,437.2,534.0,18.7,4.139
27b16481-9732-4d02-9a55-4d30038a4754,south_fork_2,2025-09-10 10:15:00,475.5,530.5,18.7,4.139
db667656-ffcf-42f1-be1a-73a0aeb6f4ba,south_fork_2,2025-09-10 10:30:00,506.0,529.0,18.6,4.139
8f95ff93-5ba3-477a-8163-59ea675f9740,south_fork_2,2025-09-10 10:45:00,524.7,525.8,18.6,4.124
3de98fa1-f611-44c8-b0e7-c135a02b674a,south_fork_2,2025-09-10 11:00:00,533.3,523.0,18.5,4.139
1acd1afb-39e8-4c5d-9bfc-7fcb1bc8ec0a,south_fork_2,2025-09-10 11:15:00,535.5,521.0,18.5,4.139
cf887777-64db-4fff-9234-4d723d39c0a2,south_fork_2,2025-09-10 11:30:00,532.3,518.8,18.5,4.139
55f201b9-9bdb-44b4-8305-d563506de291,south_fork_2,2025-09-10 11:45:00,529.0,517.7,18.4,4.139
a7514c5c-57d7-44a9-b4bb-64f991cb001d,south_fork_2,2025-09-10 12:00:00,524.8,515.7,18.4,4.124
