uuid,site_code,DateTimeUTC,Meter_Hydros21_Cond,Meter_Hydros21_Depth,Meter_Hydros21_Temp,EnviroDIY_Mayfly_Batt,rain_mm
0d0c6ad2-f5f1-4869-9741-924b8027541a,north_fork_0,2025-11-13 08:15:00,627.0,228.2,16.6,4.169,0.0
efb877d4-b5ad-4fc3-b142-1b5fd8f1611c,north_fork_0,2025-11-13 08:30:00,626.5,228.5,16.6,4.169,0.0
95b515d3-979e-4168-b8cf-53ceb0f40a9f,north_fork_0,2025-11-13 09:00:00,625.0,229.2,16.6,4.154,0.0
e8f7f380-7b17-47e3-b68f-f3281cbf8207,north_fork_0,2025-11-13 09:15:00,626.7,229.2,16.6,4.169,0.0
50b6ab72-1226-4e46-bccc-b63aa187ccff,north_fork_0,2025-11-13 09:30:00,630.2,227.5,16.6,4.154,0.0
1c3c6963-76c5-4846-81ec-56bb204b000b,north_fork_0,2025-11-13 09:45:00,628.8,228.0,16.62,4.154,0.0
31a3c546-6c97-47b0-9c94-d3ac26b9f735,north_fork_0,2025-11-13 10:00:00,630.5,228.5,16.62,4.154,0.0
bb4b4d71-f8dc-41d0-97d4-d99612ab1cfb,north_fork_0,2025-11-13 10:15:00,629.8,227.8,16.6,4.154,0.0
cf6ec6cc-991b-4f41-91cf-98d2a124be27,north_fork_0,2025-11-13 10:30:00,629.3,229.2,16.62,4.154,0.0
72422cd0-f885-4f12-a8a6-fbc172d37c1b,north_fork_0,2025-11-13 10:45:00,627.8,229.7,16.62,4.154,0.0
12d738a7-ddd1-4b77-8c03-ca421a7ce71f,north_fork_0,2025-11-13 11:00:00,628.3,228.5,16.6,4.154,0.0
39993929-5e04-4dc7-9b28-cd9793a148a0,north_fork_0,2025-11-13 11:15:00,627.5,227.7,16.6,4.154,0.0
982529f6-1dfd-4569-b6b5-6a1c65cef512,north_fork_0,2025-11-13 11:30:00,626.3,229.2,16.62,4.154,0.0
4b3e6a69-f3e2-469b-95a3-03cca89074ec,north_fork_0,2025-11-13 11:45:00,627.2,230.2,16.62,4.154,0.0
b8111d16-d8cf-45a7-8adc-af09bd6a55df,north_fork_0,2025-11-13 12:00:00,625.7,228.8,16.62,4.169,0.075
f0d5da94-1f65-4549-97cc-594de0347f2b,north_fork_0,2025-11-13 12:15:00,623.2,229.0,16.62,4.169,0.075
01fab6fa-2223-4b92-ba18-77630dffae74,north_fork_0,2025-11-13 12:30:00,621.5,228.0,16.62,4.154,0.075
cb88fd1b-5c9f-4d86-a2bb-efc016fc5074,north_fork_0,2025-11-13 12:45:00,621.5,228.8,16.62,4.154,0.075
2a2bae87-7625-4676-b567-60f5362c8efa,north_fork_0,2025-11-13 13:00:00,620.3,229.3,16.67,4.154,0.175
0a05cfa7-d102-4722-9cad-8a93634eddd5,north_fork_0,2025-11-13 13:15:00,615.0,268.2,16.68,4.154,0.175
0205536b-cf47-48cf-ae33-93c5dc6d2a04,north_fork_0,2025-11-13 13:30:00,619.5,274.5,16.7,4.154,0.175
b53fc798-7e1f-4c2f-aebf-474b17247317,north_fork_0,2025-11-13 13:45:00,624.2,273.3,16.7,4.154,0.175
cd2c90c2-d6f5-443c-b477-e82e04e1a206,north_fork_0,2025-11-13 14:00:00,605.5,307.2,16.8,4.154,0.375
cdb738a0-66fe-42e7-a110-04d3e933125b,north_fork_0,2025-11-13 14:15:00,531.3,337.3,16.9,4.154,0.375
3d840d17-4f3b-4569-9acf-938ef2944df8,north_fork_0,2025-11-13 14:30:00,383.3,395.7,16.9,4.154,0.375
86a8e912-f14e-4620-9f93-8171ab84c5c6,north_fork_0,2025-11-13 15:00:00,129.5,670.3,16.42,4.154,1.975
6097e3f7-b07d-46ac-a4a1-2141c06ee842,north_fork_0,2025-11-13 15:15:00,76.5,631.7,16.3,4.154,1.975
b64a085a-8f30-46e9-91c0-aabb65016d45,north_fork_0,2025-11-13 15:30:00,72.8,537.3,16.12,4.154,1.975
b976da7c-60b3-47f3-8383-a1e76fd8707c,north_fork_0,2025-11-13 15:45:00,87.2,541.7,16.2,4.154,1.975
c2446e75-2b8d-4d19-9d1c-9dd09719be5d,north_fork_0,2025-11-13 16:00:00,110.8,732.2,16.2,4.154,1.55
68b1e958-3b1f-4a00-b5b1-6bc435e50b30,north_fork_0,2025-11-13 16:15:00,96.0,844.8,16.1,4.154,1.55
4e6b9a3c-136b-42b4-84a8-0527e389c4fe,north_fork_0,2025-11-13 16:30:00,85.7,646.5,16.0,4.154,1.55
741f510f-393f-4700-b0ab-d02969d669b2,north_fork_0,2025-11-13 16:45:00,101.8,643.0,16.1,4.154,1.55
487ea4f4-e3a8-4dab-b962-a106b59ab7bd,north_fork_0,2025-11-13 17:00:00,85.8,718.2,16.3,4.154,0.675
63d5af31-4955-4c9c-bcf9-16aec7dcf844,north_fork_0,2025-11-13 17:15:00,100.5,625.8,16.3,4.154,0.675
52a82cfe-3f16-4834-ac23-040c39712f0d,north_fork_0,2025-11-13 17:30:00,111.2,676.5,16.42,4.139,0.675
